이름,가격,흡입력(Pa),무게,통과높이,사용시간,소음,분당회전수
LG전자 코드제로 R5 R585HKA,"629,140","2,700",3.1kg,10cm,2시간20분(최대),,
에코백스 디봇 X2 프로 옴니 DEX86 (화이트) ,"599,000","8,500",5kg,10cm,3시간30분(최대),82dB,
드리미 D9 Max GEN2 ,"267,210","6,000",3.21kg,10cm,4시간45분(최대),,
에코백스 디봇 T20 옴니 ,"571,780","6,000",,11cm,4시간30분(최대),67dB,
샤오미 X20 Max ,"659,000","8,000",3.9kg,10cm,2시간(최대),,
드리미 S20 Ultra ,"689,000","8,300",4kg,11cm,4시간(최대),,"4,050회"
샤오미 미홀 C66S ,"70,030","3,400",,9.5cm,,,
로보락 Q Revo Curv,"1,487,000","18,500",,11cm,,,
샤오미 미지아 M40 ,"491,470","12,000",4.2kg,10cm,2시간10분(최대),,
샤오미 SoberGo 스마트 ,"78,990","5,600",1.05kg,6.2cm,20분(최대),60dB,
