"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202203","1040CZE030","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20220401083056","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202203","1040CZS040","1","1140438","94.36","212","55850","33406","4.99","0.02","225","213","201","16","20220401083056","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202203","0100CZS290","1","850978","89.82","114","55551","33519","3.39","0.02","123","114","109","9","20220401083056","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202203","0100CZE285","1","838923","99.27","116","56016","33261","3.41","0.02","127","115","111","11","20220401083056","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202203","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20220401083056","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202203","0010CZS010","1","918415","87.62","74","55614","33648","1.27","0.01","77","74","72","3","20220401083056","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202203","0100CZE290","1","845287","82.14","125","55685","33385","6.53","0.05","137","126","113","16","20220401083056","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202203","1040CZE040","1","1035265","99.17","202","55850","33406","6.54","0.03","221","203","190","21","20220401083056","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202203","0010CZS090","1","651204","97.46","384","89215","65","11.33","0.02","404","385","360","30","20220401083056","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202203","0010CZE085","1","596460","101.50","392","56045","33234","13.25","0.03","415","394","365","35","20220401083056","활천IC","","","경주IC","35.807377","129.184893"
"202203","0010CZS100","1","664403","93.61","468","89217","63","10.89","0.02","487","470","444","30","20220401083056","영천JC","","","건천IC","35.843725","129.085261"
"202203","0010CZE090","1","661946","96.86","386","89215","65","12.26","0.03","406","390","361","31","20220401083056","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202203","0010CZS130","1","1211711","96.34","152","88738","0","4.43","0.02","160","154","142","12","20220401083056","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202203","0010CZE120","1","966897","89.78","371","89219","61","6.93","0.01","380","375","355","17","20220401083056","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202203","0552CZE120","1","913713","88.88","101","8928","0","3.31","0.03","106","102","94","8","20220401083056","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
