"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202209","1040CZE030","1","-1","0.00","-1","0","288","0.00","0.00","0","0","0","0","20221001083159","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202209","1040CZS040","1","1139648","93.62","214","75140","215","7.54","0.03","241","214","204","25","20221001083159","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202209","0100CZS290","1","820647","85.12","120","64775","291","4.52","0.03","134","119","113","14","20221001083159","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202209","0100CZE285","1","914094","94.72","121","75333","185","6.79","0.05","143","120","112","21","20221001083159","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202209","0550CZS020","1","-1","0.00","-1","0","288","0.00","0.00","0","0","0","0","20221001083159","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202209","0010CZS010","1","864719","88.01","74","73039","1183","1.51","0.02","79","74","72","4","20221001083159","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202209","0100CZE290","1","859830","77.45","132","75176","224","8.37","0.06","153","133","117","25","20221001083159","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202209","1040CZE040","1","1059944","96.63","207","75140","172","14.35","0.06","252","209","185","46","20221001083159","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202209","0010CZS090","1","824543","98.30","380","75330","464","14.16","0.03","416","383","355","42","20221001083159","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202209","0010CZE085","1","743769","101.92","390","75333","184","16.29","0.04","434","394","363","49","20221001083159","활천IC","","","경주IC","35.807377","129.184893"
"202209","0010CZS100","1","840491","93.89","467","75332","185","12.85","0.02","495","470","445","35","20221001083159","영천JC","","","건천IC","35.843725","129.085261"
"202209","0010CZE090","1","805607","97.82","382","75332","185","15.62","0.04","424","384","356","47","20221001083159","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202209","0010CZS130","1","1226831","96.90","151","75065","290","5.55","0.03","159","154","142","11","20221001083159","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202209","0010CZE120","1","1062531","91.71","363","75331","207","9.42","0.02","382","367","345","25","20221001083159","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202209","0552CZE120","1","1003128","89.16","100","8544","0","2.80","0.02","106","102","94","8","20221001083159","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
"202209","0550CZE130","1","719722","94.95","184","75332","190","8.62","0.04","220","183","173","32","20221001083159","금호JC","35.892622","128.525227","칠곡IC","35.935239","128.535347"
"202209","0550CZS140","1","628604","99.59","187","75107","489","4.50","0.02","197","189","179","12","20221001083159","동명동호IC","","","칠곡IC","35.935239","128.535347"
"202209","0010CZS150","1","2173192","91.86","214","73616","448","6.26","0.02","223","216","201","15","20221001083159","금호JC","35.892622","128.525227","북대구IC","35.909533","128.583284"
"202209","0010CZE140","1","1905364","97.59","283","75344","160","8.37","0.02","298","287","267","21","20221001083159","도동JC","35.912552","128.662699","북대구IC","35.909533","128.583284"
"202209","0550CZS130","1","719696","95.24","183","75332","188","3.91","0.02","192","184","175","11","20221001083159","칠곡IC","35.935239","128.535347","금호JC","35.892622","128.525227"
"202209","0010CZE150","1","2183219","93.82","210","72500","427","8.26","0.03","230","212","195","24","20221001083159","북대구IC","35.909533","128.583284","금호JC","35.892622","128.525227"
"202209","4510CZE080","1","701657","83.70","49","75340","179","1.75","0.03","52","49","45","4","20221001083159","서대구TG","35.879705","128.529925","금호JC","35.892622","128.525227"
"202209","0010CZS160","1","1805075","95.80","152","1152","288","3.13","0.02","156","153","146","7","20221001083159","칠곡JC","","","금호JC","35.892622","128.525227"
"202209","4510CZS040","1","1553999","94.77","98","75306","212","2.98","0.03","103","99","93","7","20221001083159","유천 하이패스IC","","","화원옥포IC","35.801066","128.483013"
"202209","4510CZE020","1","757454","93.11","112","75333","183","3.24","0.02","119","113","106","9","20221001083159","달성IC","35.768897","128.474407","옥포JC","35.791730","128.463921"
"202209","0120CZE230","1","616883","96.86","356","75144","452","7.97","0.02","377","358","342","24","20221001083159","고령JC","35.757729","128.372588","옥포JC","35.791730","128.463921"
"202209","4510CZS020","1","773445","89.18","117","75333","183","5.55","0.04","131","118","108","16","20221001083159","옥포JC","35.791730","128.463921","달성IC","35.768897","128.474407"
"202209","4510CZE015","1","614092","92.48","362","75329","186","12.80","0.03","382","367","339","30","20221001083159","북현풍 하이패스 IC","","","달성IC","35.768897","128.474407"
"202209","0010CZE130","1","1207580","92.87","158","75051","289","4.50","0.02","167","160","149","12","20221001083159","동대구JC","35.886186","128.693814","도동JC","35.912552","128.662699"
"202209","0010CZS140","1","1949711","93.89","294","75350","155","10.41","0.03","326","298","274","36","20221001083159","북대구IC","35.909533","128.583284","도동JC","35.912552","128.662699"
"202209","0200CZS060","1","607325","90.62","714","75333","188","24.09","0.03","811","714","684","88","20221001083159","청통와촌IC","35.970335","128.829157","도동JC","35.912552","128.662699"
"202209","4510CZE045","1","700399","100.12","116","1145","314","4.03","0.03","124","117","109","10","20221001083159","유천 하이패스IC","","","남대구IC","35.836506","128.527613"
"202209","0010CZS270","1","884671","94.97","328","74464","1248","12.19","0.03","350","331","304","32","20221001083159","비룡JC","36.345100","127.482550","옥천IC","36.313954","127.563113"
"202209","0010CZE260","1","547913","79.26","517","75345","476","25.59","0.04","591","517","483","75","20221001083159","금강IC","36.279818","127.673628","옥천IC","36.313954","127.563113"
"202209","0650CZE140","1","283035","108.51","306","31865","186","8.70","0.02","330","304","293","25","20221001083159","북강릉IC","37.835539","128.814811","남양양IC","37.914785","128.789914"
"202209","0650CZS150","1","307241","107.65","508","34455","2371","13.09","0.02","552","507","491","42","20221001083159","하조대IC","38.022808","128.697523","남양양IC","37.914785","128.789914"
"202209","0650CZS140","1","301295","102.32","325","34454","167","7.28","0.02","350","324","314","25","20221001083159","남양양IC","37.914785","128.789914","북강릉IC","37.835539","128.814811"
"202209","0650CZE130","1","301414","104.15","250","31865","193","8.11","0.03","273","248","241","22","20221001083159","강릉JC","37.771561","128.835250","북강릉IC","37.835539","128.814811"
"202209","0650CZS130","1","324069","98.38","264","44794","167","6.88","0.02","282","263","252","21","20221001083159","북강릉IC","37.835539","128.814811","강릉JC","37.771561","128.835250"
"202209","0650CZE120","1","200826","103.31","94","13712","465","3.20","0.03","102","93","89","9","20221001083159","강릉IC","37.749654","128.839215","강릉JC","37.771561","128.835250"
"202209","0500CZE300","1","495526","94.23","861","70180","253","22.73","0.02","937","856","833","72","20221001083159","대관령IC","37.678728","128.694924","강릉JC","37.771561","128.835250"
"202209","0650CZS120","1","190577","106.94","90","13730","433","2.87","0.03","98","91","85","9","20221001083159","강릉JC","37.771561","128.835250","강릉IC","37.749654","128.839215"
"202209","0650CZE110","1","340861","107.20","275","51367","335","9.81","0.03","300","275","262","26","20221001083159","남강릉IC","37.694106","128.891343","강릉IC","37.749654","128.839215"
"202209","0650CZE090","1","380033","101.24","236","70161","218","6.92","0.02","254","235","227","18","20221001083159","망상IC","37.583227","129.093087","옥계IC","37.619269","129.037304"
"202209","0650CZS100","1","411367","104.24","616","70131","468","17.73","0.02","661","614","591","49","20221001083159","남강릉IC","37.694106","128.891343","옥계IC","37.619269","129.037304"
"202209","0650CZS090","1","388425","103.00","232","67592","221","5.16","0.02","245","231","225","14","20221001083159","옥계IC","37.619269","129.037304","망상IC","37.583227","129.093087"
"202209","0650CZE080","1","334718","104.30","285","47391","173","9.48","0.03","311","284","272","27","20221001083159","동해IC","37.507913","129.093687","망상IC","37.583227","129.093087"
"202209","0500CZS240","1","532910","86.08","714","72787","162","30.93","0.04","830","709","676","107","20221001083159","둔내IC","37.492752","128.205907","새말IC","37.446693","128.066967"
"202209","0500CZE230","1","640935","96.31","475","75347","189","27.53","0.05","574","465","445","90","20221001083159","원주IC","37.400894","127.950025","새말IC","37.446693","128.066967"
"202209","0500CZE240","1","529276","94.62","649","70200","169","29.25","0.04","735","643","611","86","20221001083159","새말IC","37.446693","128.066967","둔내IC","37.492752","128.205907"
"202209","0500CZS250","1","503224","98.75","265","72776","175","7.06","0.02","294","263","258","25","20221001083159","동둔내 하이패스IC","","","둔내IC","37.492752","128.205907"
"202209","0550CZS320","1","395876","92.82","1007","2016","301","106.99","0.10","1212","992","882","231","20221001083159","홍천IC","37.678698","127.855078","횡성IC","37.504918","127.969983"
"202209","0550CZE310","1","374555","97.59","395","2720","296","11.24","0.02","428","395","374","37","20221001083159","북원주IC","37.420608","127.923204","횡성IC","37.504918","127.969983"
"202209","0500CZS260","1","500969","90.27","242","72749","728","10.57","0.04","283","240","231","36","20221001083159","평창IC","37.589103","128.412783","면온IC","37.561411","128.365327"
"202209","0500CZE255","1","548502","94.04","356","70166","212","14.44","0.04","422","353","345","53","20221001083159","동둔내 하이패스IC","","","면온IC","37.561411","128.365327"
"202209","0500CZE260","1","468304","95.42","229","70111","1347","7.63","0.03","252","227","219","23","20221001083159","면온IC","37.561411","128.365327","평창IC","37.589103","128.412783"
"202209","0500CZS270","1","495552","94.77","347","72768","185","7.95","0.02","370","347","333","25","20221001083159","속사IC","37.630499","128.489605","평창IC","37.589103","128.412783"
"202209","0500CZE270","1","517252","94.82","347","70183","185","8.77","0.02","374","347","335","27","20221001083159","평창IC","37.589103","128.412783","속사IC","37.630499","128.489605"
"202209","0500CZS280","1","477948","92.63","277","72657","190","21.57","0.07","332","275","248","58","20221001083159","진부IC","37.651615","128.561806","속사IC","37.630499","128.489605"
"202209","0500CZE280","1","527063","101.52","253","70178","238","6.39","0.02","266","251","242","16","20221001083159","속사IC","37.630499","128.489605","진부IC","37.651615","128.561806"
"202209","0500CZS290","1","475134","98.80","468","72766","461","15.79","0.03","526","464","450","53","20221001083159","대관령IC","37.678728","128.694924","진부IC","37.651615","128.561806"
"202209","0550CZE320","1","404166","93.41","1001","2016","304","58.80","0.05","1097","1027","889","145","20221001083159","횡성IC","37.504918","127.969983","홍천IC","37.678698","127.855078"
"202209","0550CZS330","1","419642","98.28","379","70172","1188","12.50","0.03","417","378","362","38","20221001083159","춘천JC","37.755511","127.794879","홍천IC","37.678698","127.855078"
"202209","0500CZS300","1","462492","96.36","842","70182","469","32.26","0.03","939","838","794","101","20221001083159","강릉JC","37.771561","128.835250","대관령IC","37.678728","128.694924"
"202209","0500CZE290","1","457744","96.95","477","70182","462","13.35","0.02","519","475","456","44","20221001083159","진부IC","37.651615","128.561806","대관령IC","37.678728","128.694924"
"202209","0650CZS080","1","327239","101.10","294","44805","172","8.48","0.02","314","294","282","22","20221001083159","망상IC","37.583227","129.093087","동해IC","37.507913","129.093687"
"202209","0650CZE070","1","220341","102.46","305","18920","325","9.89","0.03","334","306","291","30","20221001083159","삼척IC","37.447716","129.135758","동해IC","37.507913","129.093687"
"202209","0450CZE170","1","858070","95.54","526","75359","471","55.31","0.10","740","526","469","189","20221001083159","점촌함창IC","36.586195","128.155053","문경새재IC","36.700597","128.111353"
"202209","0450CZS180","1","773624","90.90","579","75373","797","93.30","0.15","977","576","519","320","20221001083159","연풍IC","36.759048","127.992268","문경새재IC","36.700597","128.111353"
"202209","0450CZS170","1","784979","97.18","517","75371","603","97.44","0.18","1004","515","459","381","20221001083159","문경새재IC","36.700597","128.111353","점촌함창IC","36.586195","128.155053"
"202209","0450CZE160","1","822791","100.08","268","75372","187","16.04","0.05","302","274","239","44","20221001083159","북상주IC","36.531143","128.169306","점촌함창IC","36.586195","128.155053"
"202209","0450CZS160","1","713440","102.37","262","75376","402","20.47","0.07","334","267","233","70","20221001083159","점촌함창IC","36.586195","128.155053","북상주IC","36.531143","128.169306"
"202209","0450CZE150","1","754364","98.14","478","74941","1052","25.04","0.05","530","485","436","65","20221001083159","상주IC","36.423025","128.213262","북상주IC","36.531143","128.169306"
"202209","0550CZS200","1","392412","97.79","489","47382","208","11.26","0.02","510","490","469","28","20221001083159","예천IC","36.667837","128.541897","서안동IC","36.588635","128.626690"
"202209","0550CZE190","1","428248","100.08","539","72706","911","21.23","0.03","569","548","500","48","20221001083159","남안동IC","36.476202","128.621431","서안동IC","36.588635","128.626690"
"202209","0550CZE200","1","386786","102.82","465","52561","278","12.99","0.02","493","467","442","35","20221001083159","서안동IC","36.588635","128.626690","예천IC","36.667837","128.541897"
"202209","0550CZS210","1","357714","100.46","433","39281","4270","11.61","0.02","457","434","414","30","20221001083159","영주IC","36.769246","128.571629","예천IC","36.667837","128.541897"
"202209","0550CZE210","1","379605","106.10","410","44789","424","11.34","0.02","433","412","390","30","20221001083159","예천IC","36.667837","128.541897","영주IC","36.769246","128.571629"
"202209","0550CZS220","1","276049","103.47","354","21514","170","10.14","0.02","379","355","336","30","20221001083159","풍기IC","36.852531","128.530415","영주IC","36.769246","128.571629"
"202209","0550CZE220","1","258049","101.83","360","18925","167","12.26","0.03","387","363","336","35","20221001083159","영주IC","36.769246","128.571629","풍기IC","36.852531","128.530415"
"202209","0550CZS230","1","408589","97.48","627","43267","401","43.38","0.06","838","623","591","172","20221001083159","단양IC","36.917949","128.364609","풍기IC","36.852531","128.530415"
"202209","0150CZS220","1","663219","102.67","479","75344","320","40.35","0.08","605","470","434","119","20221001083159","해미IC","36.712085","126.562422","홍성IC","36.592158","126.560116"
"202209","0150CZE210","1","590197","104.58","371","72743","194","19.52","0.05","450","371","341","76","20221001083159","광천IC","36.498248","126.585146","홍성IC","36.592158","126.560116"
"202209","0252CZE070","1","1135888","87.22","577","8603","0","154.97","0.25","1304","552","496","565","20221001083159","북공주JC","36.509699","127.110916","정안IC","36.625082","127.120398"
"202209","0150CZE220","1","614644","98.46","500","72717","933","25.02","0.04","555","493","449","74","20221001083159","홍성IC","36.592158","126.560116","해미IC","36.712085","126.562422"
"202209","0150CZS230","1","684699","99.60","387","75329","210","26.89","0.06","494","381","362","92","20221001083159","서산IC","36.806738","126.571499","해미IC","36.712085","126.562422"
"202209","0252CZS090","1","1190560","85.07","105","8603","0","19.09","0.17","198","103","92","74","20221001083159","천안JC","36.768988","127.181976","남천안IC","36.754160","127.164963"
"202209","0010CZS360","1","-1","0.00","-1","0","288","0.00","0.00","0","0","0","0","20221001083159","천안JC","36.768988","127.181976","목천IC","36.759960","127.217637"
"202209","0010CZS360","2","69","113.01","112","0","6","2.19","0.03","114","112","110","2","20221001083159","천안JC","36.768988","127.181976","목천IC","36.759960","127.217637"
"202209","0010CZE357","2","54891","107.73","461","17828","35","12.77","0.02","488","458","437","35","20221001083159","옥산JC","","","목천IC","36.759960","127.217637"
"202209","0010CZE357","1","1396656","91.46","543","75347","186","36.65","0.06","646","536","494","106","20221001083159","옥산JC","","","목천IC","36.759960","127.217637"
"202209","0252CZE090","1","1321014","86.15","104","8603","0","9.51","0.09","134","104","93","28","20221001083159","남천안IC","36.754160","127.164963","천안JC","36.768988","127.181976"
"202209","0010CZE360","1","-1","0.00","-1","0","288","0.00","0.00","0","0","0","0","20221001083159","목천IC","36.759960","127.217637","천안JC","36.768988","127.181976"
"202209","0010CZE360","2","60","115.97","109","0","6","4.92","0.09","114","109","105","6","20221001083159","목천IC","36.759960","127.217637","천안JC","36.768988","127.181976"
"202209","0010CZS370","1","2421970","88.31","273","75343","416","71.76","0.25","582","258","239","240","20221001083159","천안IC","36.826230","127.168773","천안JC","36.768988","127.181976"
"202209","0010CZS370","2","74687","103.11","233","17828","16","24.45","0.10","296","227","214","57","20221001083159","천안IC","36.826230","127.168773","천안JC","36.768988","127.181976"
"202209","0150CZE230","1","658384","101.33","380","75342","280","17.75","0.04","434","379","346","61","20221001083159","해미IC","36.712085","126.562422","서산IC","36.806738","126.571499"
"202209","0150CZS240","1","845799","93.31","253","71511","613","23.78","0.09","368","253","231","95","20221001083159","당진JC","36.851018","126.618518","서산IC","36.806738","126.571499"
"202209","0010CZE370","1","2382384","95.35","252","75344","417","15.37","0.06","313","249","239","51","20221001083159","천안JC","36.768988","127.181976","천안IC","36.826230","127.168773"
"202209","0010CZE370","2","75450","110.79","217","17828","16","4.81","0.02","230","216","212","12","20221001083159","천안JC","36.768988","127.181976","천안IC","36.826230","127.168773"
"202209","0010CZS380","1","2303339","61.63","488","75354","139","130.29","0.25","796","482","332","324","20221001083159","북천안IC","36.917526","127.188910","천안IC","36.826230","127.168773"
"202209","0010CZS380","2","78572","68.45","439","17830","14","84.45","0.18","547","486","289","180","20221001083159","북천안IC","36.917526","127.188910","천안IC","36.826230","127.168773"
"202209","0150CZE240","1","945218","98.40","240","74796","515","7.31","0.03","264","241","230","23","20221001083159","서산IC","36.806738","126.571499","당진JC","36.851018","126.618518"
"202209","0150CZS250","1","844208","102.58","328","75320","635","13.80","0.04","372","326","311","42","20221001083159","당진IC","36.892471","126.706619","당진JC","36.851018","126.618518"
"202209","0301CZS010","1","251329","105.10","138","16341","270","5.74","0.04","154","139","129","17","20221001083159","면천IC","36.823411","126.647532","당진JC","36.851018","126.618518"
"202209","0150CZE250","1","1057072","93.43","361","74932","704","101.54","0.27","822","346","324","348","20221001083159","당진JC","36.851018","126.618518","당진IC","36.892471","126.706619"
"202209","0150CZS260","1","1288811","92.29","314","74262","87","21.65","0.06","399","308","293","74","20221001083159","송악IC","36.934002","126.780016","당진IC","36.892471","126.706619"
"202209","0150CZE260","1","1131046","88.93","326","74261","88","106.86","0.31","808","301","274","373","20221001083159","당진IC","36.892471","126.706619","송악IC","36.934002","126.780016"
"202209","0150CZS270","1","1539245","87.95","517","74223","366","72.71","0.13","820","496","455","255","20221001083159","서평택IC","36.998078","126.869107","송악IC","36.934002","126.780016"
"202209","0550CZS270","1","577740","90.82","508","73687","434","15.19","0.02","573","502","494","55","20221001083159","신림IC","37.225669","128.087713","제천IC","37.133038","128.142648"
"202209","0550CZE265","1","311218","100.61","253","31860","404","7.70","0.03","271","253","236","24","20221001083159","제천JC","37.075750","128.182207","제천IC","37.133038","128.142648"
"202209","0450CZS230","1","1074391","85.59","611","75369","187","139.55","0.22","1130","583","517","429","20221001083159","여주JC","37.231846","127.590937","감곡IC","37.124575","127.669836"
"202209","0450CZE225","1","964893","86.23","504","75367","464","61.90","0.12","755","487","457","208","20221001083159","충주JC","37.040972","127.759211","감곡IC","37.124575","127.669836"
"202209","0550CZE250","1","452475","99.84","431","70171","189","18.19","0.04","464","434","392","50","20221001083159","북단양IC","37.014969","128.288500","남제천IC","37.065922","128.188074"
"202209","0550CZS260","1","-1","0.00","-1","0","288","0.00","0.00","0","0","0","0","20221001083159","제천JC","37.075750","128.182207","남제천IC","37.065922","128.188074"
"202209","0550CZS250","1","478532","95.52","451","70198","187","31.86","0.07","566","447","411","108","20221001083159","남제천IC","37.065922","128.188074","북단양IC","37.014969","128.288500"
"202209","0550CZE240","1","368735","103.23","494","42217","164","12.66","0.02","531","491","476","38","20221001083159","단양IC","36.917949","128.364609","북단양IC","37.014969","128.288500"
"202209","0352CZE330","1","893784","90.85","166","75381","170","8.01","0.04","182","168","152","21","20221001083159","대소JC","36.941097","127.472804","대소IC","36.981778","127.470966"
"202209","0352CZS340","1","857655","90.14","180","75367","189","8.32","0.04","192","183","162","21","20221001083159","삼성 하이패스 IC","","","대소IC","36.981778","127.470966"
"202209","0550CZE230","1","391665","98.49","620","42143","616","23.78","0.03","676","623","579","67","20221001083159","풍기IC","36.852531","128.530415","단양IC","36.917949","128.364609"
"202209","0550CZS240","1","331141","101.59","502","31871","163","41.69","0.08","708","494","471","165","20221001083159","북단양IC","37.014969","128.288500","단양IC","36.917949","128.364609"
"202209","0352CZE310","1","1155952","86.10","498","75369","182","30.39","0.06","582","490","450","92","20221001083159","증평IC","36.771771","127.502245","진천IC","36.868298","127.475104"
"202209","0352CZS320","1","972483","83.92","364","75371","182","38.30","0.10","515","357","321","135","20221001083159","대소JC","36.941097","127.472804","진천IC","36.868298","127.475104"
"202209","0352CZS310","1","1110656","80.28","534","75369","182","67.55","0.12","807","522","463","240","20221001083159","진천IC","36.868298","127.475104","증평IC","36.771771","127.502245"
"202209","0352CZE305","1","1194062","87.33","184","75370","218","10.44","0.05","226","184","164","43","20221001083159","오창JC","","","증평IC","36.771771","127.502245"
"202209","0352CZE290","1","1091301","86.45","310","75368","214","24.40","0.07","378","306","272","74","20221001083159","서청주IC","36.651721","127.421092","오창IC","36.714833","127.442538"
"202209","0352CZS300","1","1001745","86.78","162","75301","452","16.43","0.10","223","159","143","56","20221001083159","오창JC","","","오창IC","36.714833","127.442538"
"202209","0352CZS290","1","1049695","87.44","307","75368","205","38.91","0.12","442","305","268","121","20221001083159","오창IC","36.714833","127.442538","서청주IC","36.651721","127.421092"
"202209","0352CZE280","1","1000956","88.11","246","75324","207","18.50","0.07","307","242","224","58","20221001083159","남이JC","36.597771","127.420666","서청주IC","36.651721","127.421092"
"202209","0010CZE340","1","1089399","89.54","185","75350","184","12.78","0.06","228","182","170","40","20221001083159","남이JC","36.597771","127.420666","청주IC","36.626304","127.383343"
"202209","0010CZE340","2","45771","89.03","186","17830","33","8.61","0.04","209","184","177","22","20221001083159","남이JC","36.597771","127.420666","청주IC","36.626304","127.383343"
"202209","0010CZS350","2","46361","98.86","127","17830","28","11.02","0.08","149","125","114","24","20221001083159","옥산IC","","","청주IC","36.626304","127.383343"
"202209","0010CZS350","1","1220435","82.73","151","70672","193","40.16","0.25","346","148","124","155","20221001083159","옥산IC","","","청주IC","36.626304","127.383343"
"202209","0352CZS280","1","1035240","80.13","270","75325","207","28.94","0.10","378","268","237","98","20221001083159","서청주IC","36.651721","127.421092","남이JC","36.597771","127.420666"
"202209","0010CZS340","1","1082165","84.82","196","75350","183","19.25","0.09","263","191","178","59","20221001083159","청주IC","36.626304","127.383343","남이JC","36.597771","127.420666"
"202209","0010CZS340","2","48242","96.81","171","17830","30","9.68","0.05","198","167","165","23","20221001083159","청주IC","36.626304","127.383343","남이JC","36.597771","127.420666"
"202209","0010CZE330","1","2250846","88.47","158","75366","166","8.86","0.05","185","155","147","26","20221001083159","청주JC","36.564767","127.430741","남이JC","36.597771","127.420666"
"202209","0010CZE330","2","46835","101.41","138","17834","27","4.56","0.03","145","137","126","13","20221001083159","청주JC","36.564767","127.430741","남이JC","36.597771","127.420666"
"202209","0010CZE310","1","1697540","87.80","412","75350","173","25.86","0.06","499","405","390","76","20221001083159","신탄진IC","36.439653","127.419898","남청주IC","36.533699","127.430282"
"202209","0010CZE310","2","50399","97.14","373","17830","28","5.69","0.01","382","372","364","12","20221001083159","신탄진IC","36.439653","127.419898","남청주IC","36.533699","127.430282"
"202209","0010CZS320","1","1133277","78.89","161","75354","171","8.59","0.05","184","161","147","25","20221001083159","청주JC","36.564767","127.430741","남청주IC","36.533699","127.430282"
"202209","0010CZS320","2","31714","108.50","117","17830","13","10.10","0.08","145","115","109","25","20221001083159","청주JC","36.564767","127.430741","남청주IC","36.533699","127.430282"
"202209","0450CZE180","1","843724","91.51","575","75373","186","45.88","0.07","736","577","516","154","20221001083159","문경새재IC","36.700597","128.111353","연풍IC","36.759048","127.992268"
"202209","0450CZS190","1","800550","94.32","541","75365","333","52.52","0.09","769","545","483","200","20221001083159","괴산IC","36.867160","127.923502","연풍IC","36.759048","127.992268"
"202209","0450CZE190","1","831800","96.78","527","75371","313","33.32","0.06","632","535","473","111","20221001083159","연풍IC","36.759048","127.992268","괴산IC","36.867160","127.923502"
"202209","0450CZS200","1","777861","95.32","563","75375","184","29.14","0.05","644","563","519","87","20221001083159","충주IC","36.978469","127.846590","괴산IC","36.867160","127.923502"
"202209","0450CZS220","1","921673","95.45","196","75368","466","15.18","0.07","262","197","180","57","20221001083159","충주JC","37.040972","127.759211","북충주IC","37.034949","127.798035"
"202209","0450CZE215","1","839856","91.38","163","75364","205","8.18","0.05","180","165","149","21","20221001083159","중앙탑 하이패스IC","","","북충주IC","37.034949","127.798035"
"202209","0450CZE200","1","817144","94.15","570","75376","586","27.18","0.04","637","571","527","77","20221001083159","괴산IC","36.867160","127.923502","충주IC","36.978469","127.846590"
"202209","0450CZS210","1","810372","95.08","189","75371","183","10.38","0.05","224","191","174","35","20221001083159","중앙탑 하이패스IC","","","충주IC","36.978469","127.846590"
"202209","0500CZS210","1","609252","99.09","332","74207","204","8.55","0.02","358","334","318","28","20221001083159","만종JC","37.365065","127.902333","문막IC","37.311719","127.826456"
"202209","0500CZE200","1","676941","97.84","735","75350","187","23.68","0.03","805","739","689","81","20221001083159","여주IC","37.252686","127.653370","문막IC","37.311719","127.826456"
"202209","0550CZS290","1","-1","0.00","-1","0","288","0.00","0.00","0","0","0","0","20221001083159","만종JC","37.365065","127.902333","남원주IC","37.324196","127.929946"
"202209","0550CZE280","1","574312","94.23","735","75335","465","33.38","0.04","875","728","701","121","20221001083159","신림IC","37.225669","128.087713","남원주IC","37.324196","127.929946"
