"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202204","1040CZE030","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20220501083108","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202204","1040CZS040","1","1183738","94.80","211","70688","15572","6.45","0.03","234","212","202","22","20220501083108","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202204","0100CZS290","1","945145","87.53","117","70873","15280","3.08","0.02","128","117","110","12","20220501083108","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202204","0100CZE285","1","907816","98.13","117","71277","15123","5.10","0.04","128","114","111","11","20220501083108","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202204","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20220501083108","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202204","0010CZS010","1","924787","87.93","74","70270","15806","1.56","0.02","78","74","72","4","20220501083108","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202204","0100CZE290","1","877152","77.95","132","70953","15200","5.73","0.04","141","132","119","15","20220501083108","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202204","1040CZE040","1","1068058","98.18","204","70687","15573","8.97","0.04","225","203","191","23","20220501083108","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202204","0010CZS090","1","758834","97.91","382","83982","2418","11.90","0.03","399","383","359","28","20220501083108","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202204","0010CZE085","1","678822","102.57","388","71296","15104","14.40","0.03","410","389","363","32","20220501083108","활천IC","","","경주IC","35.807377","129.184893"
"202204","0010CZS100","1","779665","94.21","465","83986","2414","11.50","0.02","482","467","444","26","20220501083108","영천JC","","","건천IC","35.843725","129.085261"
"202204","0010CZE090","1","769595","97.80","382","83982","2418","13.18","0.03","403","386","361","29","20220501083108","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202204","0010CZS130","1","1212015","97.01","151","83636","0","4.81","0.03","157","154","141","11","20220501083108","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202204","0010CZE120","1","1005026","90.12","369","83987","2413","7.90","0.02","380","373","353","18","20220501083108","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202204","0552CZE120","1","956186","89.04","101","8633","0","3.19","0.03","112","101","95","11","20220501083108","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
