"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202410","0150CZS150","1","583020","98.15","228","89275","5","14.84","0.06","277","224","207","49","20241101083018","동서천JC","36.058328","126.772442","군산IC","36.009107","126.799508"
"202410","0150CZS160","1","390901","103.99","311","86683","10","13.49","0.04","348","310","292","39","20241101083018","서천IC","36.098956","126.689189","동서천JC","36.058328","126.772442"
"202410","0150CZS170","1","485938","100.04","428","89230","4","9.44","0.02","450","428","413","25","20241101083018","춘장대IC","36.167864","126.601513","서천IC","36.098956","126.689189"
"202410","0150CZS180","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20241101083018","무창포IC","36.238846","126.561240","춘장대IC","36.167864","126.601513"
"202410","0150CZS190","1","470056","102.42","421","89279","0","12.60","0.02","444","424","400","30","20241101083018","대천IC","36.333220","126.575147","무창포IC","36.238846","126.561240"
"202410","0150CZS200","1","487425","106.19","668","89276","4","19.47","0.02","716","669","634","57","20241101083018","광천IC","36.498248","126.585146","대천IC","36.333220","126.575147"
"202410","0150CZS220","1","666035","108.99","451","87624","4","16.49","0.03","498","452","419","55","20241101083018","해미IC","36.712085","126.562422","홍성IC","36.592158","126.560116"
"202410","0150CZS230","1","684401","101.39","380","89247","4","9.81","0.02","409","380","364","31","20241101083018","서산IC","36.806738","126.571499","해미IC","36.712085","126.562422"
"202410","0150CZS240","1","935027","95.61","247","20235","1","8.64","0.03","271","249","230","28","20241101083018","당진JC","36.851018","126.618518","서산IC","36.806738","126.571499"
"202410","0150CZS250","1","1238372","104.16","323","86752","0","12.24","0.03","364","323","302","43","20241101083018","당진IC","36.892471","126.706619","당진JC","36.851018","126.618518"
"202410","0150CZS260","1","1355511","93.14","311","89191","87","14.18","0.04","356","310","294","43","20241101083018","송악IC","36.934002","126.780016","당진IC","36.892471","126.706619"
"202410","0150CZS270","1","1605887","87.86","517","89076","60","33.70","0.06","600","513","461","97","20241101083018","서평택IC","36.998078","126.869107","송악IC","36.934002","126.780016"
"202410","0150CZS280","1","1827821","93.98","250","89278","2","22.22","0.08","313","249","221","64","20241101083018","서평택JC","37.054260","126.888639","서평택IC","36.998078","126.869107"
"202410","0150CZS290","1","1517259","109.37","257","89028","3","10.88","0.04","283","256","238","31","20241101083018","발안IC","37.123711","126.882317","서평택JC","37.054260","126.888639"
"202410","0150CZS300","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20241101083018","팔탄JC","37.190958","126.872251","발안IC","37.123711","126.882317"
"202410","0150CZS310","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20241101083018","매송IC","37.278437","126.897540","비봉IC","37.243197","126.882228"
"202410","0150CZS320","1","1320875","95.34","193","148","1","8.83","0.04","214","194","175","27","20241101083018","안산JC","37.344081","126.860519","팔곡JC","37.298879","126.885767"
"202410","0150CZS340","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20241101083018","조남JC","37.368742","126.869038","서서울TG","37.356793","126.863877"
"202410","0150CZS350","1","1490455","91.21","124","89231","27","2.55","0.02","134","124","121","9","20241101083018","목감IC","37.396578","126.871527","조남JC","37.368742","126.869038"
"202410","0150CZS360","1","2155914","84.62","48","89105","38","3.49","0.07","65","48","45","14","20241101083018","광명역IC","37.404130","126.879416","목감IC","37.396578","126.871527"
"202410","0150CZS370","1","1615102","95.20","100","89249","0","4.43","0.04","122","100","97","17","20241101083018","일직JC","37.423819","126.894869","광명역IC","37.404130","126.879416"
"202410","0150CZS380","1","1912365","86.97","173","165","2","10.52","0.06","219","172","163","39","20241101083018","금천IC","37.460138","126.890802","일직JC","37.423819","126.894869"
"202410","0160CZE010","1","603183","90.77","475","89274","6","9.49","0.01","494","477","456","26","20241101083018","언양JC","35.566603","129.129980","울산JCT","35.557342","129.250924"
"202410","0160CZS010","1","595974","92.42","467","89274","6","12.20","0.02","498","469","443","38","20241101083018","울산JCT","35.557342","129.250924","언양JC","35.566603","129.129980"
"202410","0170CZE010","1","1092243","91.98","101","8910","0","3.47","0.03","112","101","97","10","20241101083018","오성IC","36.999640","127.004111","평택JC","37.024982","126.985034"
"202410","0170CZE020","1","1183767","93.58","105","8910","0","3.77","0.03","117","104","100","11","20241101083018","평택JC","37.024982","126.985034","어연IC","37.054606","126.986075"
"202410","0170CZE030","1","1281227","87.27","43","8909","0","2.43","0.05","52","43","40","8","20241101083018","어연IC","37.054606","126.986075","북평택TG","37.063835","126.991562"
"202410","0170CZE040","1","1358950","88.05","300","8912","0","23.51","0.07","362","304","265","67","20241101083018","북평택TG","37.063835","126.991562","향남IC","37.127544","126.999731"
"202410","0170CZE050","1","1052440","87.37","220","8912","0","13.62","0.06","256","220","193","44","20241101083018","향남IC","37.127544","126.999731","서오산JC","37.176483","126.998353"
"202410","0170CZE060","1","1259382","95.17","103","8914","0","4.09","0.03","111","103","96","10","20241101083018","서오산JC","37.176483","126.998353","정남IC","37.183186","126.972736"
"202410","0170CZE070","1","2282710","63.85","66","8914","0","3.15","0.04","74","65","61","9","20241101083018","정남IC","37.183186","126.972736","화성JC","37.196425","126.964015"
"202410","0170CZE080","1","784847","96.79","97","8914","0","3.34","0.03","107","97","92","10","20241101083018","봉담TG","37.209135","126.965467","봉담IC","37.229340","126.956399"
"202410","0170CZS010","1","1045458","92.07","101","8910","0","7.82","0.07","124","100","91","23","20241101083018","평택JC","37.024982","126.985034","오성IC","36.999640","127.004111"
"202410","0170CZS020","1","1169842","96.56","102","8910","0","5.08","0.04","112","101","93","13","20241101083018","어연IC","37.054606","126.986075","평택JC","37.024982","126.985034"
"202410","0170CZS030","1","1447758","92.13","41","8909","0","1.32","0.03","43","41","38","3","20241101083018","북평택TG","37.063835","126.991562","어연IC","37.054606","126.986075"
"202410","0170CZS040","1","1407365","92.82","285","8912","0","15.06","0.05","323","288","256","46","20241101083018","향남IC","37.127544","126.999731","북평택TG","37.063835","126.991562"
"202410","0170CZS050","1","1303895","91.85","209","8912","0","14.56","0.06","230","211","184","32","20241101083018","서오산JC","37.176483","126.998353","향남IC","37.127544","126.999731"
"202410","0170CZS060","1","1546875","63.59","154","8914","0","12.24","0.07","187","151","137","35","20241101083018","정남IC","37.183186","126.972736","서오산JC","37.176483","126.998353"
"202410","0170CZS070","1","1352192","67.07","63","8914","0","2.98","0.04","71","62","59","8","20241101083018","화성JC","37.196425","126.964015","정남IC","37.183186","126.972736"
"202410","0170CZS080","1","880539","83.40","113","8914","0","9.32","0.08","132","117","97","24","20241101083018","봉담IC","37.229340","126.956399","봉담TG","37.209135","126.965467"
"202410","0200CZE060","1","668555","93.94","689","89274","4","10.36","0.01","709","690","662","32","20241101083018","도동JC","35.912552","128.662699","청통와촌IC","35.970335","128.829157"
"202410","0200CZE070","1","512123","101.78","300","89276","4","5.03","0.01","313","301","288","17","20241101083018","청통와촌IC","35.970335","128.829157","화산JC","",""
"202410","0200CZE080","1","573261","106.52","308","86939","57","7.32","0.02","328","309","292","25","20241101083018","북영천IC","36.032042","128.916194","임고 하이패스IC","",""
"202410","0200CZE090","1","562703","97.42","359","87580","41","6.30","0.01","374","358","344","21","20241101083018","서포항IC","36.071024","129.219875","포항IC","36.041734","129.315952"
"202410","0200CZS060","1","650204","92.94","696","89274","4","10.47","0.01","719","696","675","30","20241101083018","청통와촌IC","35.970335","128.829157","도동JC","35.912552","128.662699"
"202410","0200CZS070","1","518873","99.59","307","89275","5","4.31","0.01","317","307","298","13","20241101083018","화산JC","","","청통와촌IC","35.970335","128.829157"
"202410","0200CZS080","1","581512","104.28","315","86384","78","12.31","0.03","369","314","298","49","20241101083018","임고 하이패스IC","","","북영천IC","36.032042","128.916194"
"202410","0200CZS090","1","582997","96.57","362","87426","66","9.01","0.02","393","362","347","32","20241101083018","포항IC","36.041734","129.315952","서포항IC","36.071024","129.219875"
"202410","0201CZE010","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20241101083018","익산JC","35.942877","127.089822","완주IC","35.898449","127.151439"
"202410","0201CZE020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20241101083018","완주IC","35.898449","127.151439","완주JC","35.883510","127.174010"
"202410","0201CZE030","1","256789","93.86","1020","14112","32","46.91","0.04","1117","1032","942","122","20241101083018","소양IC","35.864405","127.236594","진안IC","35.772303","127.443616"
"202410","0201CZE040","1","266955","95.74","593","8352","1","17.49","0.02","622","596","559","44","20241101083018","진안IC","35.772303","127.443616","장수IC","35.715910","127.589576"
