"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202402","0150CZS150","1","526246","89.73","249","83516","1","32.15","0.12","382","246","222","112","20240301083147","동서천JC","36.058328","126.772442","군산IC","36.009107","126.799508"
"202402","0150CZS160","1","328966","100.47","322","42048","83","18.58","0.05","384","317","296","61","20240301083147","서천IC","36.098956","126.689189","동서천JC","36.058328","126.772442"
"202402","0150CZS170","1","453440","99.85","429","83513","1","12.03","0.02","453","428","408","31","20240301083147","춘장대IC","36.167864","126.601513","서천IC","36.098956","126.689189"
"202402","0150CZS180","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20240301083147","무창포IC","36.238846","126.561240","춘장대IC","36.167864","126.601513"
"202402","0150CZS190","1","445139","100.69","428","83520","0","15.24","0.03","454","429","400","37","20240301083147","대천IC","36.333220","126.575147","무창포IC","36.238846","126.561240"
"202402","0150CZS200","1","467198","101.78","697","83519","1","31.27","0.04","803","695","648","108","20240301083147","광천IC","36.498248","126.585146","대천IC","36.333220","126.575147"
"202402","0150CZS220","1","549044","101.42","485","83328","3","41.46","0.08","640","476","443","137","20240301083147","해미IC","36.712085","126.562422","홍성IC","36.592158","126.560116"
"202402","0150CZS230","1","508488","101.35","380","73698","0","17.78","0.04","443","377","358","59","20240301083147","서산IC","36.806738","126.571499","해미IC","36.712085","126.562422"
"202402","0150CZS240","1","582741","94.36","251","14688","0","13.99","0.05","287","250","227","42","20240301083147","당진JC","36.851018","126.618518","서산IC","36.806738","126.571499"
"202402","0150CZS250","1","859490","99.51","338","0","0","16.31","0.04","378","335","312","46","20240301083147","당진IC","36.892471","126.706619","당진JC","36.851018","126.618518"
"202402","0150CZS260","1","1132990","88.40","328","83442","78","29.16","0.08","422","324","297","87","20240301083147","송악IC","36.934002","126.780016","당진IC","36.892471","126.706619"
"202402","0150CZS270","1","1345839","85.84","530","83468","45","70.30","0.13","783","510","465","222","20240301083147","서평택IC","36.998078","126.869107","송악IC","36.934002","126.780016"
"202402","0150CZS280","1","1428477","93.83","250","83520","0","41.35","0.16","395","242","222","121","20240301083147","서평택JC","37.054260","126.888639","서평택IC","36.998078","126.869107"
"202402","0150CZS290","1","1215154","98.56","285","83520","0","18.64","0.06","339","281","260","55","20240301083147","발안IC","37.123711","126.882317","서평택JC","37.054260","126.888639"
"202402","0150CZS300","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20240301083147","팔탄JC","37.190958","126.872251","발안IC","37.123711","126.882317"
"202402","0150CZS310","1","1500337","93.77","154","77300","0","7.03","0.04","168","156","142","18","20240301083147","매송IC","37.278437","126.897540","비봉IC","37.243197","126.882228"
"202402","0150CZS320","1","1071233","95.10","193","166","1","17.10","0.08","250","188","176","51","20240301083147","안산JC","37.344081","126.860519","팔곡JC","37.298879","126.885767"
"202402","0150CZS340","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20240301083147","조남JC","37.368742","126.869038","서서울TG","37.356793","126.863877"
"202402","0150CZS350","1","1251887","90.14","126","83474","25","3.83","0.03","138","125","121","11","20240301083147","목감IC","37.396578","126.871527","조남JC","37.368742","126.869038"
"202402","0150CZS360","1","1815847","84.09","49","81434","43","4.86","0.09","67","47","45","15","20240301083147","광명역IC","37.404130","126.879416","목감IC","37.396578","126.871527"
