"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202212","1040CZE030","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20230101083143","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202212","1040CZS040","1","1181598","93.58","214","89277","3","5.43","0.02","228","214","206","15","20230101083143","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202212","0100CZS290","1","964945","90.91","113","88276","1004","3.28","0.02","117","113","101","11","20230101083143","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202212","0100CZE285","1","889471","97.05","118","89276","4","4.88","0.04","131","117","112","13","20230101083143","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202212","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20230101083143","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202212","0010CZS010","1","1034439","85.34","76","88424","687","1.43","0.01","80","76","74","4","20230101083143","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202212","0100CZE290","1","891549","82.45","124","89040","240","6.15","0.04","134","127","107","18","20230101083143","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202212","1040CZE040","1","1077781","97.62","205","89277","3","9.22","0.04","226","207","191","24","20230101083143","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202212","0010CZS090","1","758069","97.69","383","89273","7","12.72","0.03","414","386","360","37","20230101083143","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202212","0010CZE085","1","685642","101.00","394","89259","21","15.10","0.03","439","396","370","48","20230101083143","활천IC","","","경주IC","35.807377","129.184893"
"202212","0010CZS100","1","772256","93.73","467","89273","7","12.27","0.02","499","471","445","37","20230101083143","영천JC","","","건천IC","35.843725","129.085261"
"202212","0010CZE090","1","753958","96.76","386","89273","7","15.77","0.04","431","389","363","47","20230101083143","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202212","0010CZS130","1","1201415","95.84","153","86017","0","4.96","0.03","162","154","143","13","20230101083143","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202212","0010CZE120","1","1033834","90.62","367","89267","12","8.38","0.02","384","370","351","23","20230101083143","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202212","0552CZE120","1","967560","88.88","101","8928","0","2.97","0.02","105","101","95","7","20230101083143","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
"202212","0550CZE130","1","646529","95.72","182","89271","8","5.42","0.02","198","183","172","18","20230101083143","금호JC","35.892622","128.525227","칠곡IC","35.935239","128.535347"
"202212","0550CZS140","1","553335","98.89","189","89254","6","6.03","0.03","206","189","178","19","20230101083143","동명동호IC","","","칠곡IC","35.935239","128.535347"
"202212","0010CZS150","1","2116059","91.70","215","89089","10","6.26","0.02","226","216","202","16","20230101083143","금호JC","35.892622","128.525227","북대구IC","35.909533","128.583284"
"202212","0010CZE140","1","1837879","95.90","288","89055","19","8.45","0.02","304","290","271","23","20230101083143","도동JC","35.912552","128.662699","북대구IC","35.909533","128.583284"
"202212","0550CZS130","1","637669","94.21","185","89272","8","4.91","0.02","201","185","177","16","20230101083143","칠곡IC","35.935239","128.535347","금호JC","35.892622","128.525227"
"202212","0010CZE150","1","2115000","92.87","212","89178","11","6.21","0.02","223","213","198","17","20230101083143","북대구IC","35.909533","128.583284","금호JC","35.892622","128.525227"
"202212","4510CZE080","1","572460","81.64","50","89273","7","1.58","0.03","53","50","47","4","20230101083143","서대구TG","35.879705","128.529925","금호JC","35.892622","128.525227"
"202212","0010CZS160","1","1776328","95.11","153","0","0","3.15","0.02","160","153","146","9","20230101083143","칠곡JC","","","금호JC","35.892622","128.525227"
"202212","4510CZS040","1","1495336","93.88","99","89258","22","3.10","0.03","105","100","93","8","20230101083143","유천 하이패스IC","","","화원옥포IC","35.801066","128.483013"
"202212","4510CZE020","1","748379","91.58","113","89273","7","3.63","0.03","122","114","108","9","20230101083143","달성IC","35.768897","128.474407","옥포JC","35.791730","128.463921"
"202212","0120CZE230","1","572350","95.78","360","86849","532","8.63","0.02","390","361","347","30","20230101083143","고령JC","35.757729","128.372588","옥포JC","35.791730","128.463921"
"202212","4510CZS020","1","768868","90.33","115","89272","8","4.19","0.03","122","117","107","10","20230101083143","옥포JC","35.791730","128.463921","달성IC","35.768897","128.474407"
"202212","4510CZE015","1","622753","91.21","367","89276","4","12.62","0.03","396","369","345","35","20230101083143","북현풍 하이패스 IC","","","달성IC","35.768897","128.474407"
"202212","0010CZE130","1","1178485","91.78","160","85934","0","4.44","0.02","168","161","151","11","20230101083143","동대구JC","35.886186","128.693814","도동JC","35.912552","128.662699"
"202212","0010CZS140","1","1897932","93.42","295","89055","19","8.50","0.02","310","298","276","23","20230101083143","북대구IC","35.909533","128.583284","도동JC","35.912552","128.662699"
"202212","0200CZS060","1","574163","89.40","723","89273","7","18.62","0.02","785","724","694","63","20230101083143","청통와촌IC","35.970335","128.829157","도동JC","35.912552","128.662699"
"202212","4510CZE045","1","666463","99.13","118","0","0","3.80","0.03","127","118","110","11","20230101083143","유천 하이패스IC","","","남대구IC","35.836506","128.527613"
"202212","0010CZS270","1","812829","93.45","333","20560","2","12.34","0.03","367","334","308","41","20230101083143","비룡JC","36.345100","127.482550","옥천IC","36.313954","127.563113"
"202212","0010CZE260","1","506909","81.42","504","89271","9","26.48","0.05","579","506","460","83","20230101083143","금강IC","36.279818","127.673628","옥천IC","36.313954","127.563113"
"202212","0650CZE140","1","253432","106.41","312","14112","36","6.93","0.02","326","313","297","20","20230101083143","북강릉IC","37.835539","128.814811","남양양IC","37.914785","128.789914"
"202212","0650CZS150","1","281986","106.62","513","24480","113","10.59","0.02","538","514","496","29","20230101083143","하조대IC","38.022808","128.697523","남양양IC","37.914785","128.789914"
"202212","0650CZS140","1","270306","102.01","326","16704","9","6.09","0.01","340","326","315","17","20230101083143","남양양IC","37.914785","128.789914","북강릉IC","37.835539","128.814811"
"202212","0650CZE130","1","272229","102.19","255","24479","29","4.25","0.01","264","254","246","12","20230101083143","강릉JC","37.771561","128.835250","북강릉IC","37.835539","128.814811"
"202212","0650CZS130","1","289059","97.38","267","29664","4","5.14","0.01","278","267","257","14","20230101083143","북강릉IC","37.835539","128.814811","강릉JC","37.771561","128.835250"
"202212","0650CZE120","1","177188","102.96","94","8928","115","1.98","0.02","98","94","90","5","20230101083143","강릉IC","37.749654","128.839215","강릉JC","37.771561","128.835250"
"202212","0500CZE300","1","468192","92.63","876","89280","0","25.22","0.02","934","871","836","68","20230101083143","대관령IC","37.678728","128.694924","강릉JC","37.771561","128.835250"
"202212","0650CZS120","1","165028","105.21","92","8928","62","1.91","0.02","96","92","87","6","20230101083143","강릉JC","37.771561","128.835250","강릉IC","37.749654","128.839215"
"202212","0650CZE110","1","322807","103.13","286","60751","148","7.34","0.02","302","287","269","23","20230101083143","남강릉IC","37.694106","128.891343","강릉IC","37.749654","128.839215"
"202212","0650CZE090","1","352671","99.49","240","89264","15","4.63","0.01","252","240","230","15","20230101083143","망상IC","37.583227","129.093087","옥계IC","37.619269","129.037304"
"202212","0650CZS100","1","381786","102.86","625","89228","0","14.70","0.02","651","627","595","39","20230101083143","남강릉IC","37.694106","128.891343","옥계IC","37.619269","129.037304"
"202212","0650CZS090","1","362759","102.46","233","89263","16","4.17","0.01","241","235","224","11","20230101083143","옥계IC","37.619269","129.037304","망상IC","37.583227","129.093087"
"202212","0650CZE080","1","302046","102.77","290","32256","5","6.19","0.02","305","290","277","19","20230101083143","동해IC","37.507913","129.093687","망상IC","37.583227","129.093087"
"202212","0500CZS240","1","503585","83.62","735","89280","0","35.14","0.04","843","722","690","107","20230101083143","둔내IC","37.492752","128.205907","새말IC","37.446693","128.066967"
"202212","0500CZE230","1","618786","95.14","481","89280","0","22.62","0.04","557","478","451","74","20230101083143","원주IC","37.400894","127.950025","새말IC","37.446693","128.066967"
"202212","0500CZE240","1","524079","93.00","661","89280","0","28.90","0.04","746","654","623","86","20230101083143","새말IC","37.446693","128.066967","둔내IC","37.492752","128.205907"
"202212","0500CZS250","1","469896","95.57","274","89280","0","12.99","0.04","316","270","263","37","20230101083143","동둔내 하이패스IC","","","둔내IC","37.492752","128.205907"
"202212","0550CZS320","1","4980","114.24","818","256","9","10.60","0.20","826","818","811","10","20230101083143","홍천IC","37.678698","127.855078","횡성IC","37.504918","127.969983"
"202212","0550CZE310","1","150626","102.55","375","3712","39","29.09","0.14","425","388","327","68","20230101083143","북원주IC","37.420608","127.923204","횡성IC","37.504918","127.969983"
"202212","0500CZS260","1","444222","87.36","250","84070","111","12.28","0.04","281","245","239","29","20230101083143","평창IC","37.589103","128.412783","면온IC","37.561411","128.365327"
"202212","0500CZE255","1","529818","94.84","352","89280","0","11.73","0.03","386","353","334","36","20230101083143","동둔내 하이패스IC","","","면온IC","37.561411","128.365327"
