"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202308","1040CZE030","1","652679","91.45","78","89007","89","2.03","0.02","84","78","75","6","20230901083111","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202308","1040CZS040","1","1175349","93.08","215","89276","4","8.44","0.03","239","215","202","25","20230901083111","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202308","0100CZS290","1","912098","87.13","118","85650","862","3.94","0.03","132","117","113","13","20230901083111","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202308","0100CZE285","1","921856","96.00","119","89274","0","5.60","0.04","131","117","112","13","20230901083111","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202308","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20230901083111","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202308","0010CZS010","1","900999","88.25","74","88170","970","1.80","0.02","80","73","71","6","20230901083111","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202308","0100CZE290","1","832802","77.35","133","88873","225","7.55","0.05","147","134","117","21","20230901083111","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202308","1040CZE040","1","909508","96.00","209","89276","4","10.74","0.05","239","206","195","30","20230901083111","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202308","0010CZS090","1","844507","98.55","379","89276","4","13.95","0.03","413","379","358","38","20230901083111","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202308","0010CZE085","1","756638","102.17","389","89274","6","14.53","0.03","421","391","368","37","20230901083111","활천IC","","","경주IC","35.807377","129.184893"
"202308","0010CZS100","1","908154","93.51","468","89256","24","12.07","0.02","498","468","449","34","20230901083111","영천JC","","","건천IC","35.843725","129.085261"
"202308","0010CZE090","1","861809","98.05","381","89276","4","14.32","0.03","414","383","359","38","20230901083111","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202308","0010CZS130","1","1365724","94.64","155","89230","0","4.61","0.02","164","155","147","11","20230901083111","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202308","0010CZE120","1","1100637","91.88","362","88191","4","8.47","0.02","378","364","347","21","20230901083111","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202308","0552CZE120","1","1057748","88.56","101","8928","0","3.08","0.03","108","102","95","9","20230901083111","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
"202308","0550CZE130","1","705139","96.38","181","89265","14","6.12","0.03","197","180","172","17","20230901083111","금호JC","35.892622","128.525227","칠곡IC","35.935239","128.535347"
"202308","0550CZS140","1","599350","99.62","187","89162","2","5.51","0.02","200","186","179","14","20230901083111","동명동호IC","","","칠곡IC","35.935239","128.535347"
"202308","0010CZS150","1","2217993","91.34","215","88982","9","7.39","0.03","231","215","202","20","20230901083111","금호JC","35.892622","128.525227","북대구IC","35.909533","128.583284"
"202308","0010CZE140","1","1965050","97.64","283","85889","10","9.77","0.03","304","281","264","28","20230901083111","도동JC","35.912552","128.662699","북대구IC","35.909533","128.583284"
"202308","0550CZS130","1","702016","94.56","185","89265","14","4.60","0.02","195","184","178","11","20230901083111","칠곡IC","35.935239","128.535347","금호JC","35.892622","128.525227"
"202308","0010CZE150","1","2228825","93.39","211","89071","4","8.53","0.04","233","211","196","25","20230901083111","북대구IC","35.909533","128.583284","금호JC","35.892622","128.525227"
"202308","4510CZE080","1","741608","83.81","48","89278","2","1.85","0.03","53","48","45","5","20230901083111","서대구TG","35.879705","128.529925","금호JC","35.892622","128.525227"
"202308","0010CZS160","1","1859294","94.89","153","0","0","3.85","0.02","162","152","147","10","20230901083111","칠곡JC","","","금호JC","35.892622","128.525227"
"202308","4510CZS040","1","1564319","94.09","99","86757","0","3.78","0.03","108","99","92","11","20230901083111","유천 하이패스IC","","","화원옥포IC","35.801066","128.483013"
"202308","4510CZE020","1","-1","0.00","-1","8928","5","0.00","0.00","0","0","0","0","20230901083111","달성IC","35.768897","128.474407","옥포JC","35.791730","128.463921"
"202308","0120CZE230","1","639880","97.09","355","86786","225","9.20","0.02","380","354","342","26","20230901083111","고령JC","35.757729","128.372588","옥포JC","35.791730","128.463921"
"202308","4510CZS020","1","-1","0.00","-1","8928","5","0.00","0.00","0","0","0","0","20230901083111","옥포JC","35.791730","128.463921","달성IC","35.768897","128.474407"
"202308","4510CZE015","1","655067","91.72","364","89259","9","14.53","0.03","399","364","344","38","20230901083111","북현풍 하이패스 IC","","","달성IC","35.768897","128.474407"
"202308","0010CZE130","1","1409546","93.61","157","89222","29","4.98","0.03","167","157","148","13","20230901083111","동대구JC","35.886186","128.693814","도동JC","35.912552","128.662699"
"202308","0010CZS140","1","1901032","93.46","295","87592","20","8.73","0.02","315","294","277","26","20230901083111","북대구IC","35.909533","128.583284","도동JC","35.912552","128.662699"
"202308","0200CZS060","1","649732","90.55","714","86684","3","15.71","0.02","747","709","692","38","20230901083111","청통와촌IC","35.970335","128.829157","도동JC","35.912552","128.662699"
"202308","4510CZE045","1","707629","98.72","118","0","0","5.14","0.04","130","117","111","13","20230901083111","유천 하이패스IC","","","남대구IC","35.836506","128.527613"
"202308","0010CZS270","1","890040","93.10","335","88885","53","10.79","0.03","364","336","317","32","20230901083111","비룡JC","36.345100","127.482550","옥천IC","36.313954","127.563113"
"202308","0010CZE260","1","577370","89.39","459","86678","2","15.79","0.03","493","460","431","43","20230901083111","금강IC","36.279818","127.673628","옥천IC","36.313954","127.563113"
"202308","0650CZE140","1","348625","106.94","311","68544","11","12.71","0.04","358","307","295","44","20230901083111","북강릉IC","37.835539","128.814811","남양양IC","37.914785","128.789914"
"202308","0650CZS150","1","366741","105.65","518","72861","61","18.56","0.03","583","515","495","61","20230901083111","하조대IC","38.022808","128.697523","남양양IC","37.914785","128.789914"
