"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202309","1040CZE030","1","652254","91.47","78","85999","401","1.61","0.02","83","78","76","4","20231001083106","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202309","1040CZS040","1","1153137","92.50","217","86385","15","8.73","0.04","246","216","204","29","20231001083106","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202309","0100CZS290","1","929781","86.58","118","84959","664","3.91","0.03","132","117","113","13","20231001083106","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202309","0100CZE285","1","924703","93.53","123","86372","0","7.82","0.06","146","123","112","23","20231001083106","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202309","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231001083106","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202309","0010CZS010","1","876250","87.75","74","83533","1369","1.71","0.02","79","74","72","4","20231001083106","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202309","0100CZE290","1","832094","75.21","136","85489","134","8.46","0.06","157","138","121","25","20231001083106","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202309","1040CZE040","1","972149","94.91","211","86385","15","13.05","0.06","251","209","195","39","20231001083106","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202309","0010CZS090","1","859768","97.59","383","86389","11","12.36","0.03","408","385","360","33","20231001083106","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202309","0010CZE085","1","765822","101.81","391","86385","15","13.34","0.03","411","393","368","30","20231001083106","활천IC","","","경주IC","35.807377","129.184893"
"202309","0010CZS100","1","922754","92.90","471","86391","9","13.42","0.02","508","472","450","40","20231001083106","영천JC","","","건천IC","35.843725","129.085261"
"202309","0010CZE090","1","847842","98.03","381","86389","11","12.59","0.03","401","384","358","30","20231001083106","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202309","0010CZS130","1","1386704","94.64","155","86171","1","4.57","0.02","163","156","147","11","20231001083106","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202309","0010CZE120","1","1135293","91.85","362","72973","21","8.43","0.02","376","366","348","19","20231001083106","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202309","0552CZE120","1","1050950","87.44","102","8640","0","3.40","0.03","109","103","95","9","20231001083106","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
"202309","0550CZE130","1","727774","95.89","182","86356","20","6.02","0.03","197","182","172","17","20231001083106","금호JC","35.892622","128.525227","칠곡IC","35.935239","128.535347"
"202309","0550CZS140","1","618744","98.87","189","86369","7","5.03","0.02","198","190","180","12","20231001083106","동명동호IC","","","칠곡IC","35.935239","128.535347"
"202309","0010CZS150","1","2294354","90.36","218","86279","8","7.29","0.03","232","218","203","20","20231001083106","금호JC","35.892622","128.525227","북대구IC","35.909533","128.583284"
"202309","0010CZE140","1","1882259","97.43","283","85983","51","9.91","0.03","300","284","264","25","20231001083106","도동JC","35.912552","128.662699","북대구IC","35.909533","128.583284"
"202309","0550CZS130","1","730284","93.92","186","86373","25","3.98","0.02","193","186","179","9","20231001083106","칠곡IC","35.935239","128.535347","금호JC","35.892622","128.525227"
"202309","0010CZE150","1","2238271","91.39","215","86075","9","10.62","0.04","243","215","198","31","20231001083106","북대구IC","35.909533","128.583284","금호JC","35.892622","128.525227"
"202309","4510CZE080","1","297371","83.41","49","35841","14","1.64","0.07","51","49","46","3","20231001083106","서대구TG","35.879705","128.529925","금호JC","35.892622","128.525227"
"202309","0010CZS160","1","1927631","94.50","154","0","0","3.99","0.02","164","154","147","11","20231001083106","칠곡JC","","","금호JC","35.892622","128.525227"
"202309","4510CZS040","1","1595596","94.28","99","86120","0","4.51","0.04","107","99","92","10","20231001083106","유천 하이패스IC","","","화원옥포IC","35.801066","128.483013"
"202309","4510CZE020","1","-1","0.00","-1","8640","8","0.00","0.00","0","0","0","0","20231001083106","달성IC","35.768897","128.474407","옥포JC","35.791730","128.463921"
"202309","0120CZE230","1","641432","97.12","355","71829","83","7.20","0.02","371","356","342","20","20231001083106","고령JC","35.757729","128.372588","옥포JC","35.791730","128.463921"
"202309","4510CZS020","1","-1","0.00","-1","8640","8","0.00","0.00","0","0","0","0","20231001083106","옥포JC","35.791730","128.463921","달성IC","35.768897","128.474407"
"202309","4510CZE015","1","662266","91.50","365","86318","23","15.51","0.04","405","367","342","44","20231001083106","북현풍 하이패스 IC","","","달성IC","35.768897","128.474407"
"202309","0010CZE130","1","1414348","93.89","156","86173","47","5.15","0.03","165","157","148","11","20231001083106","동대구JC","35.886186","128.693814","도동JC","35.912552","128.662699"
"202309","0010CZS140","1","1803950","93.14","296","85971","51","9.56","0.03","313","298","277","25","20231001083106","북대구IC","35.909533","128.583284","도동JC","35.912552","128.662699"
"202309","0200CZS060","1","649788","90.01","719","86387","13","28.24","0.03","835","716","687","103","20231001083106","청통와촌IC","35.970335","128.829157","도동JC","35.912552","128.662699"
"202309","4510CZE045","1","723674","98.76","118","0","0","4.87","0.04","127","119","109","12","20231001083106","유천 하이패스IC","","","남대구IC","35.836506","128.527613"
"202309","0010CZS270","1","931947","92.59","337","85865","63","12.27","0.03","363","337","317","32","20231001083106","비룡JC","36.345100","127.482550","옥천IC","36.313954","127.563113"
"202309","0010CZE260","1","622246","83.74","490","86397","1","25.85","0.05","541","486","446","66","20231001083106","금강IC","36.279818","127.673628","옥천IC","36.313954","127.563113"
"202309","0650CZE140","1","293508","107.59","309","26783","49","12.31","0.03","344","305","293","35","20231001083106","북강릉IC","37.835539","128.814811","남양양IC","37.914785","128.789914"
"202309","0650CZS150","1","330441","106.42","514","39519","220","15.37","0.02","556","510","497","41","20231001083106","하조대IC","38.022808","128.697523","남양양IC","37.914785","128.789914"
"202309","0650CZS140","1","315264","102.40","324","39744","11","8.84","0.02","349","322","314","24","20231001083106","남양양IC","37.914785","128.789914","북강릉IC","37.835539","128.814811"
"202309","0650CZE130","1","303666","103.39","252","31965","41","11.16","0.04","288","248","240","33","20231001083106","강릉JC","37.771561","128.835250","북강릉IC","37.835539","128.814811"
"202309","0650CZS130","1","324848","98.49","264","39743","6","8.24","0.03","286","263","251","24","20231001083106","북강릉IC","37.835539","128.814811","강릉JC","37.771561","128.835250"
"202309","0650CZE120","1","202911","102.64","94","11188","95","3.66","0.03","104","93","90","9","20231001083106","강릉IC","37.749654","128.839215","강릉JC","37.771561","128.835250"
"202309","0500CZE300","1","514724","93.34","870","86397","3","25.87","0.02","921","867","829","64","20231001083106","대관령IC","37.678728","128.694924","강릉JC","37.771561","128.835250"
"202309","0650CZS120","1","194598","106.14","91","13758","44","2.92","0.03","98","91","87","7","20231001083106","강릉JC","37.771561","128.835250","강릉IC","37.749654","128.839215"
"202309","0650CZE110","1","364157","103.99","284","81163","80","11.34","0.03","309","284","268","28","20231001083106","남강릉IC","37.694106","128.891343","강릉IC","37.749654","128.839215"
"202309","0650CZE090","1","386651","100.42","238","86354","42","8.42","0.03","260","237","229","21","20231001083106","망상IC","37.583227","129.093087","옥계IC","37.619269","129.037304"
"202309","0650CZS100","1","412973","102.79","625","86396","2","24.03","0.03","680","623","593","60","20231001083106","남강릉IC","37.694106","128.891343","옥계IC","37.619269","129.037304"
"202309","0650CZS090","1","402214","102.21","234","86362","37","7.94","0.03","254","232","225","20","20231001083106","옥계IC","37.619269","129.037304","망상IC","37.583227","129.093087"
"202309","0650CZE080","1","341877","103.21","288","50109","11","11.34","0.03","319","286","274","31","20231001083106","동해IC","37.507913","129.093687","망상IC","37.583227","129.093087"
"202309","0500CZS240","1","535563","84.24","729","86386","14","46.55","0.06","883","708","687","137","20231001083106","둔내IC","37.492752","128.205907","새말IC","37.446693","128.066967"
"202309","0500CZE230","1","654797","96.14","476","86388","3","30.66","0.06","586","467","441","101","20231001083106","원주IC","37.400894","127.950025","새말IC","37.446693","128.066967"
"202309","0500CZE240","1","542465","94.35","651","86386","14","22.09","0.03","714","647","619","66","20231001083106","새말IC","37.446693","128.066967","둔내IC","37.492752","128.205907"
"202309","0500CZS250","1","512041","95.27","275","86397","1","8.33","0.03","301","271","266","24","20231001083106","동둔내 하이패스IC","","","둔내IC","37.492752","128.205907"
"202309","0550CZS320","1","386076","99.67","938","81179","40","30.13","0.03","1005","940","891","79","20231001083106","홍천IC","37.678698","127.855078","횡성IC","37.504918","127.969983"
"202309","0550CZE310","1","-1","0.00","-1","898","337","0.00","0.00","0","0","0","0","20231001083106","북원주IC","37.420608","127.923204","횡성IC","37.504918","127.969983"
"202309","0500CZS260","1","522947","89.64","244","85387","1","12.16","0.04","299","242","234","45","20231001083106","평창IC","37.589103","128.412783","면온IC","37.561411","128.365327"
"202309","0500CZE255","1","549646","93.04","359","86396","4","12.29","0.03","417","357","349","47","20231001083106","동둔내 하이패스IC","","","면온IC","37.561411","128.365327"
"202309","0500CZE260","1","522528","97.86","224","86157","63","9.60","0.04","248","222","210","26","20231001083106","면온IC","37.561411","128.365327","평창IC","37.589103","128.412783"
"202309","0500CZS270","1","515464","96.37","342","86297","12","7.72","0.02","359","340","331","19","20231001083106","속사IC","37.630499","128.489605","평창IC","37.589103","128.412783"
"202309","0500CZE270","1","522559","94.16","350","86297","12","17.32","0.04","413","348","329","58","20231001083106","평창IC","37.589103","128.412783","속사IC","37.630499","128.489605"
"202309","0500CZS280","1","483931","95.63","268","86366","6","15.17","0.05","336","266","247","62","20231001083106","진부IC","37.651615","128.561806","속사IC","37.630499","128.489605"
"202309","0500CZE280","1","533155","101.02","254","86365","26","9.05","0.03","288","252","241","32","20231001083106","속사IC","37.630499","128.489605","진부IC","37.651615","128.561806"
"202309","0500CZS290","1","485797","97.55","474","86398","1","17.85","0.03","523","470","450","51","20231001083106","대관령IC","37.678728","128.694924","진부IC","37.651615","128.561806"
"202309","0550CZE320","1","389241","97.64","957","86353","45","34.46","0.03","1033","963","905","89","20231001083106","횡성IC","37.504918","127.969983","홍천IC","37.678698","127.855078"
"202309","0550CZS330","1","376474","101.50","367","85788","0","9.83","0.02","390","366","353","25","20231001083106","춘천JC","37.755511","127.794879","홍천IC","37.678698","127.855078"
"202309","0500CZS300","1","477272","93.52","868","86396","3","35.28","0.04","950","864","816","93","20231001083106","강릉JC","37.771561","128.835250","대관령IC","37.678728","128.694924"
"202309","0500CZE290","1","477942","98.08","471","86398","1","12.32","0.02","501","468","452","34","20231001083106","진부IC","37.651615","128.561806","대관령IC","37.678728","128.694924"
"202309","0650CZS080","1","338714","100.45","296","47517","16","12.26","0.04","331","293","283","33","20231001083106","망상IC","37.583227","129.093087","동해IC","37.507913","129.093687"
"202309","0650CZE070","1","231866","101.00","310","13824","168","12.57","0.04","343","309","290","37","20231001083106","삼척IC","37.447716","129.135758","동해IC","37.507913","129.093687"
"202309","0450CZE170","1","875401","94.66","531","86324","22","53.76","0.10","749","528","476","191","20231001083106","점촌함창IC","36.586195","128.155053","문경새재IC","36.700597","128.111353"
"202309","0450CZS180","1","801928","87.39","602","86313","22","136.00","0.22","1306","598","524","547","20231001083106","연풍IC","36.759048","127.992268","문경새재IC","36.700597","128.111353"
"202309","0450CZS170","1","859211","94.30","533","86296","22","103.10","0.18","1047","525","460","410","20231001083106","문경새재IC","36.700597","128.111353","점촌함창IC","36.586195","128.155053"
"202309","0450CZE160","1","827502","98.81","271","86322","26","19.22","0.07","337","272","244","65","20231001083106","북상주IC","36.531143","128.169306","점촌함창IC","36.586195","128.155053"
